,link,status,title
116,http://shooter.zimuku.net/download/NjQ1ODB8Wm9kaWFjLlRoZS5SYWNlLkJlZ2lucy4yMDA2LkRWRFJpcC5YdmlELVNTRi5yYXI%3D,True,Zodiac.The.Race.Begins
117,http://shooter.zimuku.net/download/NjQ1Nzl8VGhlLkxhc3QuVGltZS4yMDA2LkRWRFJpcC5YdmlELkFDMy5pTlQtTW9Nby56aXA%3D,True,The.Last.Time
118,http://shooter.zimuku.net/download/NjQ1Nzh8VGhlX0ZyZW5jaF9MaWV1dGVuYW50X3NfV29tYW5fMTk4MV9YdmlEX05pWC5yYXI%3D,True,The_French_Lieutenant_s_Woman_1981_XviD_NiX
119,http://shooter.zimuku.net/download/NjQ2NTJ8QWZ0ZXIuVGhlLldlZGRpbmcuMjAwNi5EVkRSaXAuWFZpRC5BQzMuaU5ULU5UU0MucmFy,True,婚礼之后
120,http://shooter.zimuku.net/download/NjQ1NzJ8VG5zZm9ybWVyVFMxLnJhcg%3D%3D,True,变形金刚
121,http://shooter.zimuku.net/download/NjQ1NzF8JTVCJUU2JTlDJUFCJUU2JTk3JUE1JTVELkVuZC5vZi5kYXlzLngyNjQuREQ2NDBrLnBwcS5jaHMucmFy,True,[末日].End.of.days.x264.DD640k.ppq.chs
122,http://shooter.zimuku.net/download/NjQ1Njl8ZXVyZWthLjIwMS5kc3IueHZpZC5ub3R2LnJhcg%3D%3D,True,EUREKA S02E01
123,http://shooter.zimuku.net/download/NjQ1Njh8RmluYWxGYW50YXN5VklJLnJhcg%3D%3D,True,Final Fantasy VII: Advent Children
124,http://shooter.zimuku.net/download/NjQ3NDF8JUU5JUFCJTk4JUU3JUFCJThCJUU3JTlBJTg0JUU2JTlDJUFBJUU2JTlEJUE1JUU0JUI4JTk2JUU3JTk1JThDK1dBRi5yYXI%3D,True,未来少年柯南
125,http://shooter.zimuku.net/download/NjQ1Njd8JUU3JUJFJThFJUU0JUI4JUJEJUU1JUJGJTgzJUU3JTgxJUI1JUU3JTlBJTg0JUU2JUIwJUI4JUU2JTgxJTkyJUU5JTk4JUIzJUU1JTg1JTg5LUJNRHJ1LnppcA%3D%3D,True,Eternal Sunshine of the Spotless Mind
126,http://shooter.zimuku.net/download/NjQ2NzZ8UmF0YXRvdWlsbGVfMV9fVFNfWFZpRF9WSURFT19UU19TdWJyaXBfY2hzX2NodF9OZXdNb3YucmFy,True,Ratatouille_1_TS_XViD_VIDEO_TS_Subrip_chs_cht_NewMov
127,http://shooter.zimuku.net/download/NjQ1NjZ8UHJlbW9uaXRpb24ucmFy,True,Premonition
128,http://shooter.zimuku.net/download/NjQ2MjR8VGhlK0dyYWR1YXRlJTVCMSU1RC5jaHMucmFy,True,The Graduate
129,http://shooter.zimuku.net/download/NjQ1NjV8UGVyZmVjdC5TdHJhbmdlci4yMDA3LkRWRFNDUi5YVmlELkFDMy5pTlQtU2t5ZS5yYXI%3D,True,勾引陌生人
130,http://shooter.zimuku.net/download/NjQ1NzN8JTVCJUU1JTkwJThDJUU3JUFBJTk3JUU0JUI5JThCJUU3JTg4JUIxJTVELkFub3RoZXIrQ291bnRyeSstK090cm8rUGElQzMlQURzKyUyOE1hcmVrK0thbmlldnNrYSUyQysxOTg0JTI5K0RWRFJpcC5yYXI%3D,True,同窗之爱
131,http://shooter.zimuku.net/download/NjQ1NjN8ZG1kLWJsYWNrc20ucmFy,True,Black.Snake.Moan
132,http://shooter.zimuku.net/download/NjQ1NjJ8MDcuMTAuMDcuQmFuZC5PZi5Ccm90aGVycy4yMDAxLkVQMDEtMTAuRFZEUmlwLlgyNjQuQUFDLkR1YWxBdWRpby5pTlQtVExGLnJhcg%3D%3D,True,Band.Of.Brothers
133,http://shooter.zimuku.net/download/NjQ1NjF8MDcuMTEuMDcuRXVyZWthLlMwMkUwMS5Ec3IuWHZpZC5Ob3R2JTQwUkJNLnJhcg%3D%3D,True,遗城 第二季第1集
134,http://shooter.zimuku.net/download/NjQ2MDN8X19fX19fX19fNzBfX18ucmFy,True,_70_
